timestamp,event_type,event_id,myth_id
10,reformation,EVT-001,
20,myth,,MYTH-001
23,oracle,EVT-002,
33,prophecy,EVT-003,
35,reformation,EVT-004,
40,myth,,MYTH-002
60,myth,,MYTH-003
81,censorship,EVT-005,
99,censorship,EVT-006,
107,relic,EVT-007,
132,censorship,EVT-008,
133,prophecy,EVT-009,
139,censorship,EVT-010,
185,schism,EVT-011,
197,oracle,EVT-012,
210,censorship,EVT-013,
240,oracle,EVT-014,
301,censorship,EVT-015,
309,relic,EVT-016,
310,prophecy,EVT-017,
361,oracle,EVT-018,
363,oracle,EVT-019,
371,oracle,EVT-020,
390,prophecy,EVT-021,
393,relic,EVT-022,
403,prophecy,EVT-023,
416,oracle,EVT-024,
443,relic,EVT-025,
466,prophecy,EVT-026,
