timestamp,cult_S,cult_E,cult_I,cult_A,cult_R,cult_D,nb_strains,nb_relics,nb_myths,rt
0,997,3,0,0,0,0,1,0,0,0.0
1,997,3,0,0,0,0,1,0,0,0.0
2,997,2,1,0,0,0,1,0,0,0.0
3,997,0,3,0,0,0,1,0,0,0.0
4,996,1,3,0,0,0,1,0,0,1.0
5,996,1,3,0,0,0,1,0,0,1.0
6,996,1,3,0,0,0,1,0,0,1.0
7,995,2,3,0,0,0,1,0,0,2.0
8,995,2,2,0,1,0,1,0,0,2.0
9,994,2,3,0,1,0,1,0,0,2.0
10,994,1,3,0,2,0,2,0,0,2.0
11,993,2,3,0,2,0,2,0,0,1.5
12,993,0,3,1,3,0,2,0,0,1.0
13,993,0,3,1,3,0,2,0,0,1.0
14,993,0,3,1,3,0,2,0,0,1.0
15,992,1,3,1,3,0,2,0,0,1.0
16,992,1,3,1,3,0,2,0,0,1.0
17,992,1,3,1,3,0,2,0,0,1.0
18,992,0,3,2,3,0,2,0,0,1.0
19,992,0,3,1,4,0,2,0,0,1.0
20,992,0,2,1,5,0,2,0,1,0.0
21,992,0,2,1,5,0,2,0,1,0.0
22,992,0,2,1,5,0,2,0,1,0.0
23,992,0,2,1,5,0,2,0,1,0.0
24,992,0,2,0,6,0,2,0,1,0.0
25,992,0,1,0,7,0,2,0,1,0.0
26,992,0,1,0,7,0,2,0,1,0.0
27,992,0,1,0,7,0,3,0,1,0.0
28,991,1,1,0,7,0,3,0,1,1.0
29,991,0,2,0,7,0,3,0,1,1.0
30,991,0,2,0,7,0,3,0,1,1.0
31,990,1,2,0,7,0,3,0,1,2.0
32,990,1,2,0,7,0,3,0,1,2.0
33,959,32,1,0,8,0,4,0,1,1.0
34,959,11,15,7,8,0,4,0,1,1.0
35,945,15,24,8,8,0,5,0,1,1.0
36,931,19,33,7,10,0,5,0,1,1.2608695652173914
37,914,18,46,11,11,0,5,0,1,1.4838709677419355
38,896,19,57,16,12,0,5,0,1,1.575
39,876,23,70,17,14,0,5,0,1,1.537037037037037
40,850,30,85,20,15,0,5,0,2,1.4393939393939394
41,822,34,96,29,18,1,5,0,2,1.3625
42,791,38,113,30,27,1,5,0,2,1.3666666666666667
43,761,36,131,42,29,1,5,0,2,1.3917525773195876
44,724,45,143,52,35,1,5,0,2,1.3333333333333333
45,682,47,158,68,44,1,5,0,2,1.3333333333333333
46,645,44,184,74,52,1,5,0,2,1.2919708029197081
47,606,48,200,86,59,1,5,0,2,1.2758620689655173
48,572,43,223,89,72,1,5,0,2,1.3125
49,525,53,239,93,89,1,5,0,2,1.2838709677419355
50,481,54,261,100,102,2,5,0,2,1.2641509433962264
51,437,50,282,112,117,2,5,0,2,1.2455089820359282
52,399,45,286,129,139,2,5,0,2,1.2176470588235293
53,356,47,306,131,157,3,5,0,2,1.2134831460674158
54,323,41,327,138,166,5,5,0,2,1.1812865497076024
55,289,38,333,142,193,5,5,0,2,1.1636363636363636
56,262,34,338,140,219,7,5,0,2,1.1824324324324325
57,237,33,338,145,239,8,5,0,2,1.148936170212766
58,218,26,346,141,259,10,5,0,2,1.1311475409836065
59,193,29,341,143,283,11,5,0,2,1.1403508771929824
60,174,22,348,144,300,12,5,0,3,1.1274509803921569
61,160,16,354,144,314,12,5,0,3,1.1333333333333333
62,143,22,342,142,339,12,6,0,3,1.119047619047619
63,133,17,340,139,359,12,6,0,3,1.118421052631579
64,123,12,335,140,377,13,6,0,3,1.1111111111111112
65,105,20,340,133,389,13,6,0,3,1.1311475409836065
66,96,14,339,133,404,14,6,0,3,1.1636363636363636
67,87,10,332,130,427,14,6,0,3,1.0980392156862746
68,83,5,323,127,447,15,6,0,3,1.1111111111111112
69,76,9,312,123,465,15,6,0,3,1.0681818181818181
70,69,8,304,119,485,15,6,0,3,1.0285714285714285
71,64,7,293,120,501,15,6,0,3,1.032258064516129
72,62,3,276,122,522,15,6,0,3,1.0869565217391304
73,61,2,266,118,537,16,6,0,3,1.0476190476190477
74,58,3,254,111,558,16,6,0,3,1.0
75,58,0,237,108,581,16,6,0,3,1.0
76,54,4,223,104,599,16,6,0,3,1.0
77,51,3,214,98,618,16,6,0,3,1.1
78,49,3,205,92,635,16,6,0,3,1.0909090909090908
79,49,0,199,90,646,16,6,0,3,1.0
80,46,3,195,86,654,16,6,0,3,1.0
81,45,1,190,83,665,16,7,0,3,1.125
82,44,1,178,78,683,16,7,0,3,1.1666666666666667
83,44,0,175,76,689,16,7,0,3,1.25
84,43,1,163,75,702,16,7,0,3,1.2
85,43,0,155,71,715,16,7,0,3,1.0
86,43,0,146,68,726,17,7,0,3,1.0
87,42,1,140,66,734,17,7,0,3,1.0
88,42,1,138,64,738,17,7,0,3,1.0
89,42,1,131,63,746,17,7,0,3,1.0
90,42,0,123,59,758,18,7,0,3,1.0
91,42,0,119,54,767,18,7,0,3,1.0
92,42,0,117,52,771,18,7,0,3,0.0
93,40,2,112,50,778,18,7,0,3,1.0
94,40,0,110,49,783,18,7,0,3,1.0
95,40,0,107,48,787,18,7,0,3,1.0
96,39,1,103,47,792,18,7,0,3,1.0
97,39,0,101,46,796,18,7,0,3,1.0
98,39,0,99,45,799,18,7,0,3,1.0
99,39,0,93,44,806,18,7,0,3,1.0
100,39,0,92,43,808,18,8,0,3,1.0
101,39,0,85,42,816,18,8,0,3,0.0
102,39,0,79,41,823,18,8,0,3,0.0
103,39,0,76,41,826,18,8,0,3,0.0
104,39,0,73,40,830,18,8,0,3,0.0
105,39,0,69,38,836,18,8,0,3,0.0
106,39,0,64,37,842,18,8,0,3,0.0
107,39,0,59,34,850,18,8,1,3,0.0
108,39,0,57,34,852,18,8,1,3,0.0
109,39,0,54,33,856,18,8,1,3,0.0
110,39,0,52,32,859,18,8,1,3,0.0
111,39,0,49,30,864,18,8,1,3,0.0
112,39,0,48,29,866,18,8,1,3,0.0
113,39,0,46,27,870,18,8,1,3,0.0
114,39,0,45,27,871,18,8,1,3,0.0
115,39,0,42,27,874,18,8,1,3,0.0
116,39,0,42,25,876,18,8,1,3,0.0
117,39,0,40,25,878,18,8,1,3,0.0
118,39,0,37,23,883,18,8,1,3,0.0
119,39,0,35,22,886,18,8,1,3,0.0
120,39,0,33,21,889,18,8,1,3,0.0
121,39,0,30,21,892,18,8,1,3,0.0
122,39,0,29,20,894,18,9,1,3,0.0
123,39,0,27,19,897,18,9,1,3,0.0
124,39,0,26,18,899,18,9,1,3,0.0
125,39,0,26,16,901,18,9,1,3,0.0
126,39,0,23,16,904,18,9,1,3,0.0
127,39,0,21,16,906,18,9,1,3,0.0
128,39,0,21,15,907,18,9,1,3,0.0
129,39,0,19,15,909,18,9,1,3,0.0
130,39,0,18,14,911,18,9,1,3,0.0
131,39,0,17,13,913,18,9,1,3,0.0
132,39,0,15,12,916,18,9,1,3,0.0
133,39,0,15,12,916,18,10,1,3,0.0
134,39,0,15,12,916,18,10,1,3,0.0
135,39,0,15,12,916,18,11,1,3,0.0
136,39,0,15,12,916,18,11,1,3,0.0
137,39,0,15,12,916,18,11,1,3,0.0
138,39,0,15,12,916,18,11,1,3,0.0
139,39,0,14,12,917,18,11,1,3,0.0
140,39,0,12,12,919,18,11,1,3,0.0
141,39,0,12,12,919,18,11,1,3,0.0
142,39,0,11,12,920,18,11,1,3,0.0
143,39,0,11,12,920,18,11,1,3,0.0
144,39,0,10,11,922,18,11,1,3,0.0
145,39,0,10,10,923,18,11,1,3,0.0
146,39,0,8,10,925,18,11,1,3,0.0
147,39,0,8,9,926,18,11,1,3,0.0
148,39,0,8,7,928,18,11,1,3,0.0
149,39,0,8,7,928,18,11,1,3,0.0
150,39,0,8,7,928,18,11,1,3,0.0
151,39,0,8,6,929,18,11,1,3,0.0
152,39,0,8,6,929,18,11,1,3,0.0
153,39,0,8,5,930,18,11,1,3,0.0
154,39,0,8,4,931,18,12,1,3,0.0
155,39,0,8,4,931,18,12,1,3,0.0
156,39,0,8,4,931,18,12,1,3,0.0
157,39,0,8,3,932,18,12,1,3,0.0
158,39,0,8,3,932,18,12,1,3,0.0
159,39,0,8,3,932,18,12,1,3,0.0
160,39,0,8,3,932,18,13,1,3,0.0
161,39,0,8,3,932,18,13,1,3,0.0
162,39,0,8,3,932,18,13,1,3,0.0
163,39,0,6,3,934,18,13,1,3,0.0
164,39,0,6,2,935,18,13,1,3,0.0
165,39,0,6,2,935,18,14,1,3,0.0
166,39,0,6,2,935,18,14,1,3,0.0
167,39,0,6,2,935,18,15,1,3,0.0
168,39,0,5,1,937,18,15,1,3,0.0
169,39,0,5,1,937,18,15,1,3,0.0
170,39,0,5,1,937,18,15,1,3,0.0
171,39,0,4,1,938,18,15,1,3,0.0
172,39,0,4,1,938,18,15,1,3,0.0
173,39,0,3,1,939,18,15,1,3,0.0
174,39,0,3,0,940,18,15,1,3,0.0
175,39,0,2,0,941,18,15,1,3,0.0
176,39,0,2,0,941,18,15,1,3,0.0
177,39,0,2,0,941,18,15,1,3,0.0
178,39,0,2,0,941,18,15,1,3,0.0
179,39,0,2,0,941,18,16,1,3,0.0
180,39,0,2,0,941,18,16,1,3,0.0
181,39,0,2,0,941,18,16,1,3,0.0
182,39,0,2,0,941,18,16,1,3,0.0
183,39,0,2,0,941,18,16,1,3,0.0
184,39,0,1,0,942,18,16,1,3,0.0
185,39,0,1,0,942,18,17,1,3,0.0
186,39,0,1,0,942,18,17,1,3,0.0
187,39,0,1,0,942,18,17,1,3,0.0
188,39,0,0,0,943,18,17,1,3,0.0
189,39,0,0,0,943,18,17,1,3,0.0
190,39,0,0,0,943,18,17,1,3,0.0
191,39,0,0,0,943,18,17,1,3,0.0
192,39,0,0,0,943,18,17,1,3,0.0
193,39,0,0,0,943,18,17,1,3,0.0
194,39,0,0,0,943,18,17,1,3,0.0
195,39,0,0,0,943,18,17,1,3,0.0
196,39,0,0,0,943,18,17,1,3,0.0
197,39,0,0,0,943,18,17,1,3,0.0
198,39,0,0,0,943,18,17,1,3,0.0
199,39,0,0,0,943,18,17,1,3,0.0
200,39,0,0,0,943,18,17,1,3,0.0
201,39,0,0,0,943,18,17,1,3,0.0
202,39,0,0,0,943,18,17,1,3,0.0
203,39,0,0,0,943,18,17,1,3,0.0
204,39,0,0,0,943,18,17,1,3,0.0
205,39,0,0,0,943,18,17,1,3,0.0
206,39,0,0,0,943,18,17,1,3,0.0
207,39,0,0,0,943,18,17,1,3,0.0
208,39,0,0,0,943,18,17,1,3,0.0
209,39,0,0,0,943,18,17,1,3,0.0
210,39,0,0,0,943,18,17,1,3,0.0
211,39,0,0,0,943,18,17,1,3,0.0
212,39,0,0,0,943,18,17,1,3,0.0
213,39,0,0,0,943,18,17,1,3,0.0
214,39,0,0,0,943,18,17,1,3,0.0
215,39,0,0,0,943,18,17,1,3,0.0
216,39,0,0,0,943,18,17,1,3,0.0
217,39,0,0,0,943,18,17,1,3,0.0
218,39,0,0,0,943,18,17,1,3,0.0
219,39,0,0,0,943,18,17,1,3,0.0
220,39,0,0,0,943,18,17,1,3,0.0
221,39,0,0,0,943,18,17,1,3,0.0
222,39,0,0,0,943,18,17,1,3,0.0
223,39,0,0,0,943,18,17,1,3,0.0
224,39,0,0,0,943,18,17,1,3,0.0
225,39,0,0,0,943,18,17,1,3,0.0
226,39,0,0,0,943,18,17,1,3,0.0
227,39,0,0,0,943,18,17,1,3,0.0
228,39,0,0,0,943,18,17,1,3,0.0
229,39,0,0,0,943,18,17,1,3,0.0
230,39,0,0,0,943,18,17,1,3,0.0
231,39,0,0,0,943,18,17,1,3,0.0
232,39,0,0,0,943,18,17,1,3,0.0
233,39,0,0,0,943,18,17,1,3,0.0
234,39,0,0,0,943,18,17,1,3,0.0
235,39,0,0,0,943,18,17,1,3,0.0
236,39,0,0,0,943,18,17,1,3,0.0
237,39,0,0,0,943,18,17,1,3,0.0
238,39,0,0,0,943,18,17,1,3,0.0
239,39,0,0,0,943,18,17,1,3,0.0
240,39,0,0,0,943,18,17,1,3,0.0
241,39,0,0,0,943,18,17,1,3,0.0
242,39,0,0,0,943,18,17,1,3,0.0
243,39,0,0,0,943,18,17,1,3,0.0
244,39,0,0,0,943,18,17,1,3,0.0
245,39,0,0,0,943,18,17,1,3,0.0
246,39,0,0,0,943,18,17,1,3,0.0
247,39,0,0,0,943,18,17,1,3,0.0
248,39,0,0,0,943,18,17,1,3,0.0
249,39,0,0,0,943,18,17,1,3,0.0
250,39,0,0,0,943,18,17,1,3,0.0
251,39,0,0,0,943,18,17,1,3,0.0
252,39,0,0,0,943,18,17,1,3,0.0
253,39,0,0,0,943,18,17,1,3,0.0
254,39,0,0,0,943,18,17,1,3,0.0
255,39,0,0,0,943,18,17,1,3,0.0
256,39,0,0,0,943,18,17,1,3,0.0
257,39,0,0,0,943,18,17,1,3,0.0
258,39,0,0,0,943,18,17,1,3,0.0
259,39,0,0,0,943,18,17,1,3,0.0
260,39,0,0,0,943,18,17,1,3,0.0
261,39,0,0,0,943,18,17,1,3,0.0
262,39,0,0,0,943,18,17,1,3,0.0
263,39,0,0,0,943,18,17,1,3,0.0
264,39,0,0,0,943,18,17,1,3,0.0
265,39,0,0,0,943,18,17,1,3,0.0
266,39,0,0,0,943,18,17,1,3,0.0
267,39,0,0,0,943,18,17,1,3,0.0
268,39,0,0,0,943,18,17,1,3,0.0
269,39,0,0,0,943,18,17,1,3,0.0
270,39,0,0,0,943,18,17,1,3,0.0
271,39,0,0,0,943,18,17,1,3,0.0
272,39,0,0,0,943,18,17,1,3,0.0
273,39,0,0,0,943,18,17,1,3,0.0
274,39,0,0,0,943,18,17,1,3,0.0
275,39,0,0,0,943,18,17,1,3,0.0
276,39,0,0,0,943,18,17,1,3,0.0
277,39,0,0,0,943,18,17,1,3,0.0
278,39,0,0,0,943,18,17,1,3,0.0
279,39,0,0,0,943,18,17,1,3,0.0
280,39,0,0,0,943,18,17,1,3,0.0
281,39,0,0,0,943,18,17,1,3,0.0
282,39,0,0,0,943,18,17,1,3,0.0
283,39,0,0,0,943,18,17,1,3,0.0
284,39,0,0,0,943,18,17,1,3,0.0
285,39,0,0,0,943,18,17,1,3,0.0
286,39,0,0,0,943,18,17,1,3,0.0
287,39,0,0,0,943,18,17,1,3,0.0
288,39,0,0,0,943,18,17,1,3,0.0
289,39,0,0,0,943,18,17,1,3,0.0
290,39,0,0,0,943,18,17,1,3,0.0
291,39,0,0,0,943,18,17,1,3,0.0
292,39,0,0,0,943,18,17,1,3,0.0
293,39,0,0,0,943,18,17,1,3,0.0
294,39,0,0,0,943,18,17,1,3,0.0
295,39,0,0,0,943,18,17,1,3,0.0
296,39,0,0,0,943,18,17,1,3,0.0
297,39,0,0,0,943,18,17,1,3,0.0
298,39,0,0,0,943,18,17,1,3,0.0
299,39,0,0,0,943,18,17,1,3,0.0
300,39,0,0,0,943,18,17,1,3,0.0
301,39,0,0,0,943,18,17,1,3,0.0
302,39,0,0,0,943,18,17,1,3,0.0
303,39,0,0,0,943,18,17,1,3,0.0
304,39,0,0,0,943,18,17,1,3,0.0
305,39,0,0,0,943,18,17,1,3,0.0
306,39,0,0,0,943,18,17,1,3,0.0
307,39,0,0,0,943,18,17,1,3,0.0
308,39,0,0,0,943,18,17,1,3,0.0
309,39,0,0,0,943,18,17,2,3,0.0
310,37,2,0,0,943,18,18,2,3,0.0
311,37,0,1,1,943,18,18,2,3,0.0
312,37,0,1,1,943,18,18,2,3,0.0
313,37,0,1,1,943,18,18,2,3,0.0
314,37,0,1,1,943,18,18,2,3,0.0
315,37,0,1,1,943,18,18,2,3,0.0
316,37,0,0,1,944,18,18,2,3,0.0
317,37,0,0,1,944,18,18,2,3,0.0
318,37,0,0,1,944,18,18,2,3,0.0
319,37,0,0,1,944,18,18,2,3,0.0
320,37,0,0,1,944,18,18,2,3,0.0
321,37,0,0,1,944,18,18,2,3,0.0
322,37,0,0,1,944,18,18,2,3,0.0
323,37,0,0,1,944,18,18,2,3,0.0
324,37,0,0,1,944,18,18,2,3,0.0
325,37,0,0,1,944,18,18,2,3,0.0
326,37,0,0,1,944,18,18,2,3,0.0
327,37,0,0,1,944,18,18,2,3,0.0
328,37,0,0,1,944,18,18,2,3,0.0
329,37,0,0,1,944,18,19,2,3,0.0
330,37,0,0,1,944,18,19,2,3,0.0
331,37,0,0,1,944,18,19,2,3,0.0
332,37,0,0,1,944,18,19,2,3,0.0
333,37,0,0,1,944,18,19,2,3,0.0
334,37,0,0,1,944,18,19,2,3,0.0
335,37,0,0,1,944,18,19,2,3,0.0
336,37,0,0,1,944,18,19,2,3,0.0
337,37,0,0,1,944,18,19,2,3,0.0
338,37,0,0,1,944,18,19,2,3,0.0
339,37,0,0,1,944,18,19,2,3,0.0
340,37,0,0,1,944,18,19,2,3,0.0
341,37,0,0,1,944,18,19,2,3,0.0
342,37,0,0,1,944,18,19,2,3,0.0
343,37,0,0,1,944,18,19,2,3,0.0
344,37,0,0,1,944,18,19,2,3,0.0
345,37,0,0,1,944,18,19,2,3,0.0
346,37,0,0,1,944,18,19,2,3,0.0
347,37,0,0,1,944,18,19,2,3,0.0
348,37,0,0,1,944,18,19,2,3,0.0
349,37,0,0,1,944,18,19,2,3,0.0
350,37,0,0,1,944,18,19,2,3,0.0
351,37,0,0,1,944,18,19,2,3,0.0
352,37,0,0,1,944,18,19,2,3,0.0
353,37,0,0,1,944,18,19,2,3,0.0
354,37,0,0,1,944,18,19,2,3,0.0
355,37,0,0,1,944,18,19,2,3,0.0
356,37,0,0,1,944,18,19,2,3,0.0
357,37,0,0,1,944,18,19,2,3,0.0
358,37,0,0,1,944,18,19,2,3,0.0
359,37,0,0,1,944,18,19,2,3,0.0
360,37,0,0,1,944,18,19,2,3,0.0
361,37,0,0,1,944,18,19,2,3,0.0
362,37,0,0,1,944,18,19,2,3,0.0
363,37,0,0,1,944,18,19,2,3,0.0
364,37,0,0,1,944,18,20,2,3,0.0
365,37,0,0,1,944,18,20,2,3,0.0
366,37,0,0,1,944,18,20,2,3,0.0
367,37,0,0,1,944,18,20,2,3,0.0
368,37,0,0,1,944,18,20,2,3,0.0
369,37,0,0,1,944,18,20,2,3,0.0
370,37,0,0,1,944,18,20,2,3,0.0
371,37,0,0,1,944,18,20,2,3,0.0
372,37,0,0,1,944,18,20,2,3,0.0
373,37,0,0,1,944,18,20,2,3,0.0
374,37,0,0,0,945,18,20,2,3,0.0
375,37,0,0,0,945,18,20,2,3,0.0
376,37,0,0,0,945,18,20,2,3,0.0
377,37,0,0,0,945,18,20,2,3,0.0
378,37,0,0,0,945,18,20,2,3,0.0
379,37,0,0,0,945,18,20,2,3,0.0
380,37,0,0,0,945,18,20,2,3,0.0
381,37,0,0,0,945,18,20,2,3,0.0
382,37,0,0,0,945,18,20,2,3,0.0
383,37,0,0,0,945,18,20,2,3,0.0
384,37,0,0,0,945,18,20,2,3,0.0
385,37,0,0,0,945,18,20,2,3,0.0
