timestamp,agent_a,agent_b,intensity,transmission_risk,transmission_occurred
3,1,4,1.5,0.18,0
4,3,6,1.5,0.18,1
5,1,4,1.5,0.18,0
6,1,4,1.5,0.18,0
6,2,4,1.5,0.18,0
6,3,5,1.5,0.18,0
7,2,5,1.5,0.18,0
7,3,5,1.5,0.18,1
8,1,4,1.5,0.18,0
8,2,4,1.5,0.18,0
8,3,4,1.5,0.18,0
9,3,4,1.5,0.18,1
10,5,997,1.5,0.18,0
11,6,9,1.5,0.18,1
12,6,7,1.5,0.18,0
13,4,306,1.5,0.18,0
13,9,11,0.6000000000000001,0.07200000000000001,0
14,4,496,1.5,0.18,0
14,9,12,0.6000000000000001,0.07200000000000001,0
15,4,253,1.5,0.18,1
15,9,12,0.6000000000000001,0.07200000000000001,0
16,4,496,1.5,0.18,0
16,9,11,0.6000000000000001,0.07200000000000001,0
17,4,306,1.5,0.18,0
17,9,11,0.6000000000000001,0.07200000000000001,0
18,9,11,0.6000000000000001,0.07200000000000001,0
19,9,12,0.6000000000000001,0.07200000000000001,0
19,253,911,0.6000000000000001,0.07200000000000001,0
20,4,496,1.5,0.18,0
20,9,11,0.6000000000000001,0.07200000000000001,0
21,4,496,1.5,0.18,0
21,9,10,0.6000000000000001,0.07200000000000001,0
22,4,306,1.5,0.18,0
22,9,12,0.6000000000000001,0.07200000000000001,0
23,4,496,1.5,0.18,0
23,9,10,0.6000000000000001,0.07200000000000001,0
24,9,11,0.6000000000000001,0.07200000000000001,0
26,4,496,1.5,0.18,0
28,4,306,1.875,0.22499999999999998,1
30,306,307,1.875,0.22499999999999998,0
31,4,496,1.875,0.22499999999999998,1
31,306,179,1.875,0.22499999999999998,0
32,306,307,1.875,0.22499999999999998,0
33,306,415,1.875,0.22499999999999998,1
35,30,32,2.07,0.24839999999999998,0
35,45,46,2.07,0.24839999999999998,0
35,56,59,5.175,0.621,1
35,73,677,2.07,0.24839999999999998,1
35,119,121,5.175,0.621,0
35,162,164,5.175,0.621,1
35,181,182,5.175,0.621,1
35,215,218,5.175,0.621,1
35,241,694,2.07,0.24839999999999998,0
35,292,944,5.175,0.621,1
35,496,499,1.875,0.22499999999999998,1
35,497,500,2.07,0.24839999999999998,0
35,528,529,5.175,0.621,1
35,551,554,5.175,0.621,1
35,661,662,5.175,0.621,1
35,759,761,5.175,0.621,1
35,777,960,2.07,0.24839999999999998,1
35,912,914,5.175,0.621,1
35,917,919,5.175,0.621,0
35,945,947,5.175,0.621,1
35,948,951,2.07,0.24839999999999998,0
36,30,32,2.484,0.29808,0
36,45,47,2.484,0.29808,0
36,54,57,5.175,0.621,0
36,56,185,6.209999999999999,0.7451999999999999,1
36,73,75,2.484,0.29808,0
36,107,108,2.07,0.24839999999999998,0
