,timestamp,cult_S,cult_E,cult_I,cult_A,cult_R,cult_D,nb_strains,nb_relics,nb_myths,nb_factions,rt
timestamp,1.0,-0.8653631116336419,-0.6812612689614368,-0.6712142727151456,-0.6274276158537195,0.9104832232259364,,0.934127000404752,,0.7388303913440086,0.6407081176667925,-0.7854436193477605
cult_S,-0.8653631116336419,1.0,0.5903820817956233,0.4382593847058174,0.3665917751867354,-0.9840866407997243,,-0.8862027049830666,,-0.9369981758950422,-0.8361691683452579,0.5514132276209952
cult_E,-0.6812612689614368,0.5903820817956233,1.0,0.7962699039452132,0.6526365673293911,-0.6893134203016461,,-0.749392847705084,,-0.4235035259656838,-0.362283015723633,0.6730037006364001
cult_I,-0.6712142727151456,0.4382593847058174,0.7962699039452132,1.0,0.9146276863741073,-0.5896084231725023,,-0.7464475416609823,,-0.2184012839010181,-0.1012469668669964,0.759136238449406
cult_A,-0.6274276158537195,0.3665917751867354,0.6526365673293911,0.9146276863741073,1.0,-0.5165774089665346,,-0.6899804287997569,,-0.11099839360536566,0.04747739359115944,0.7378076970494409
cult_R,0.9104832232259364,-0.9840866407997243,-0.6893134203016461,-0.5896084231725023,-0.5165774089665346,1.0,,0.9438199935350563,,0.8812267129496826,0.7656333589041757,-0.6472438176686426
cult_D,,,,,,,,,,,,
nb_strains,0.934127000404752,-0.8862027049830666,-0.749392847705084,-0.7464475416609823,-0.6899804287997569,0.9438199935350563,,1.0,,0.7305012687945908,0.6246899309287492,-0.7714466149923772
nb_relics,,,,,,,,,,,,
nb_myths,0.7388303913440086,-0.9369981758950422,-0.4235035259656838,-0.2184012839010181,-0.11099839360536566,0.8812267129496826,,0.7305012687945908,,1.0,0.9028345762215457,-0.3961501160960592
nb_factions,0.6407081176667925,-0.8361691683452579,-0.362283015723633,-0.1012469668669964,0.04747739359115944,0.7656333589041757,,0.6246899309287492,,0.9028345762215457,1.0,-0.27655523260306536
rt,-0.7854436193477605,0.5514132276209952,0.6730037006364001,0.759136238449406,0.7378076970494409,-0.6472438176686426,,-0.7714466149923772,,-0.3961501160960592,-0.27655523260306536,1.0
