agent_id,timestamp,event_type,content,impact
1,5,disenchantment,Désenchantement à t=5,0.7
2,56,disenchantment,Désenchantement à t=56,0.7
3,5,disenchantment,Désenchantement à t=5,0.7
4,47,disenchantment,Désenchantement à t=47,0.7
5,52,disenchantment,Désenchantement à t=52,0.7
6,48,disenchantment,Désenchantement à t=48,0.7
7,73,disenchantment,Désenchantement à t=73,0.7
8,117,disenchantment,Désenchantement à t=117,0.7
9,44,disenchantment,Désenchantement à t=44,0.7
10,58,disenchantment,Désenchantement à t=58,0.7
11,102,disenchantment,Désenchantement à t=102,0.7
12,52,disenchantment,Désenchantement à t=52,0.7
13,50,disenchantment,Désenchantement à t=50,0.7
14,80,disenchantment,Désenchantement à t=80,0.7
15,74,disenchantment,Désenchantement à t=74,0.7
16,68,disenchantment,Désenchantement à t=68,0.7
17,68,disenchantment,Désenchantement à t=68,0.7
18,56,disenchantment,Désenchantement à t=56,0.7
19,138,disenchantment,Désenchantement à t=138,0.7
20,51,disenchantment,Désenchantement à t=51,0.7
21,78,disenchantment,Désenchantement à t=78,0.7
24,71,disenchantment,Désenchantement à t=71,0.7
25,138,disenchantment,Désenchantement à t=138,0.7
26,89,disenchantment,Désenchantement à t=89,0.7
28,73,disenchantment,Désenchantement à t=73,0.7
42,193,disenchantment,Désenchantement à t=193,0.7
43,176,disenchantment,Désenchantement à t=176,0.7
44,60,disenchantment,Désenchantement à t=60,0.7
45,37,disenchantment,Désenchantement à t=37,0.7
46,42,disenchantment,Désenchantement à t=42,0.7
48,180,disenchantment,Désenchantement à t=180,0.7
50,138,disenchantment,Désenchantement à t=138,0.7
51,173,disenchantment,Désenchantement à t=173,0.7
52,92,disenchantment,Désenchantement à t=92,0.7
53,116,disenchantment,Désenchantement à t=116,0.7
54,116,disenchantment,Désenchantement à t=116,0.7
55,52,disenchantment,Désenchantement à t=52,0.7
57,56,disenchantment,Désenchantement à t=56,0.7
58,232,disenchantment,Désenchantement à t=232,0.7
67,184,disenchantment,Désenchantement à t=184,0.7
68,182,disenchantment,Désenchantement à t=182,0.7
70,208,disenchantment,Désenchantement à t=208,0.7
71,193,disenchantment,Désenchantement à t=193,0.7
72,143,disenchantment,Désenchantement à t=143,0.7
73,136,disenchantment,Désenchantement à t=136,0.7
74,156,disenchantment,Désenchantement à t=156,0.7
75,143,disenchantment,Désenchantement à t=143,0.7
77,138,disenchantment,Désenchantement à t=138,0.7
83,191,disenchantment,Désenchantement à t=191,0.7
85,121,disenchantment,Désenchantement à t=121,0.7
87,72,disenchantment,Désenchantement à t=72,0.7
88,125,disenchantment,Désenchantement à t=125,0.7
89,185,disenchantment,Désenchantement à t=185,0.7
90,83,disenchantment,Désenchantement à t=83,0.7
91,96,disenchantment,Désenchantement à t=96,0.7
92,140,disenchantment,Désenchantement à t=140,0.7
93,116,disenchantment,Désenchantement à t=116,0.7
94,75,disenchantment,Désenchantement à t=75,0.7
96,181,disenchantment,Désenchantement à t=181,0.7
98,123,disenchantment,Désenchantement à t=123,0.7
99,217,disenchantment,Désenchantement à t=217,0.7
100,165,disenchantment,Désenchantement à t=165,0.7
