,timestamp,cult_S,cult_E,cult_I,cult_A,cult_R,cult_D,nb_strains,nb_relics,nb_myths,nb_factions,rt
timestamp,1.0,-0.9777532743703055,-0.38702822998159553,0.6448897456034408,0.09164211199877921,0.9877780271108288,,0.8726123061398667,,0.8660687083024938,0.7311154035422723,0.06694900213096364
cult_S,-0.9777532743703055,1.0,0.30797794139730195,-0.7726702147936817,-0.1644253708815936,-0.9729903840306796,,-0.8784496407170062,,-0.9260553926967477,-0.7836493542284303,-0.07911403946896746
cult_E,-0.38702822998159553,0.30797794139730195,1.0,-0.08725794302922696,0.33843597030410577,-0.42566451581436127,,-0.4768345212065039,,-0.17788615359786256,-0.05382549700978829,0.24406008908542445
cult_I,0.6448897456034408,-0.7726702147936817,-0.08725794302922696,1.0,0.4691613374900954,0.6219166962936996,,0.6801215745946837,,0.8396231153326285,0.8296840932256297,0.15923938966340948
cult_A,0.09164211199877921,-0.1644253708815936,0.33843597030410577,0.4691613374900954,1.0,-0.025363727047336977,,-0.04015308854873805,,0.3208604904447309,0.5914526234437405,0.3006931799381396
cult_R,0.9877780271108288,-0.9729903840306796,-0.42566451581436127,0.6219166962936996,-0.025363727047336977,1.0,,0.8835435291182652,,0.8517031241837031,0.6603072996783733,0.012885603896285902
cult_D,,,,,,,,,,,,
nb_strains,0.8726123061398667,-0.8784496407170062,-0.4768345212065039,0.6801215745946837,-0.04015308854873805,0.8835435291182652,,1.0,,0.7644910495784081,0.6637746507579485,0.1321683225697302
nb_relics,,,,,,,,,,,,
nb_myths,0.8660687083024938,-0.9260553926967477,-0.17788615359786256,0.8396231153326285,0.3208604904447309,0.8517031241837031,,0.7644910495784081,,1.0,0.830678610641864,0.12304366016715204
nb_factions,0.7311154035422723,-0.7836493542284303,-0.05382549700978829,0.8296840932256297,0.5914526234437405,0.6603072996783733,,0.6637746507579485,,0.830678610641864,1.0,0.30169135090747423
rt,0.06694900213096364,-0.07911403946896746,0.24406008908542445,0.15923938966340948,0.3006931799381396,0.012885603896285902,,0.1321683225697302,,0.12304366016715204,0.30169135090747423,1.0
