agent,weighted_degree
3.0,3.3525238560720667
5.0,4.129868736852989
16.0,1.3093395303640403
79.0,2.240327010048189
60.0,3.528339757497812
73.0,2.8567705301394235
17.0,0.6546697651820201
31.0,2.8537083209008247
37.0,1.9063792270666249
61.0,3.180129289589778
76.0,1.271001630242409
78.0,2.855845927752866
64.0,1.4183358896738092
40.0,1.272673245638836
6.0,6.020378076864513
68.0,3.816229641889932
65.0,6.015870720017201
7.0,1.5827920929676502
70.0,1.590026398682642
46.0,3.48478125266468
9.0,3.1724265383144603
63.0,2.481745425325776
42.0,2.2223276997572925
69.0,2.8607878325227096
51.0,5.406632556082347
67.0,1.7689196513201588
74.0,2.8522778021869604
10.0,6.3655982839365
49.0,0.633312318384741
18.0,1.7725213017086916
8.0,1.5827920929676502
71.0,0.6353807169200338
21.0,0.633312318384741
12.0,1.7689196513201588
11.0,3.1781648182884914
54.0,2.2254150497857865
38.0,1.7689196513201588
13.0,1.5919879461965634
72.0,1.2689154331248398
14.0,1.586176872091928
58.0,4.770481512594463
33.0,0.6340255380173279
43.0,2.2195975444695124
53.0,2.864253198990397
75.0,0.6335347162048061
52.0,2.8610149474568436
66.0,3.177431845673883
44.0,3.8096263995842543
20.0,3.815890334712229
59.0,1.5892467831989496
48.0,2.8610865540995323
45.0,1.5879300768789235
24.0,3.1715788356837784
55.0,4.441357074448285
22.0,4.769925030686233
27.0,3.4908270448520735
50.0,1.5879401010083374
77.0,2.8617160845345477
39.0,2.2255595366742402
57.0,1.5857244364453218
29.0,0.6358110905477427
41.0,0.6359925290375349
23.0,3.1764900051902174
62.0,1.5895670076367054
47.0,1.5879300768789235
80.0,1.594207014525449
56.0,1.5857244364453218
25.0,1.5856989897773952
30.0,1.912817293858204
28.0,0.6358110905477427
32.0,0.6385031016552306
19.0,0.6385031016552306
