timestamp,cult_S,cult_E,cult_I,cult_A,cult_R,cult_D,nb_strains,nb_relics,nb_myths,nb_factions,rt
0,177,3,0,0,0,0,1,0,0,0,0.0
1,177,3,0,0,0,0,1,0,0,0,0.0
2,177,2,1,0,0,0,1,0,0,0,0.0
3,177,2,1,0,0,0,1,0,0,0,0.0
4,177,1,2,0,0,0,1,0,0,0,0.0
5,176,1,3,0,0,0,2,0,0,0,1.0
6,175,1,3,1,0,0,3,0,0,0,2.0
7,175,0,4,1,0,0,3,0,0,1,2.0
8,174,1,4,1,0,0,3,0,0,1,1.5
9,174,1,4,1,0,0,3,0,0,1,1.5
10,173,2,4,1,0,0,3,0,0,1,1.5
11,173,0,6,1,0,0,3,0,0,1,1.0
12,172,1,6,1,0,0,3,0,0,1,1.0
13,171,2,5,1,1,0,4,0,0,2,1.0
14,170,3,5,1,1,0,4,0,0,2,1.3333333333333333
15,170,3,4,1,2,0,4,0,0,2,1.5
16,170,1,5,2,2,0,4,0,0,2,1.5
17,169,2,5,2,2,0,4,0,0,2,1.5
18,169,1,4,3,3,0,4,0,0,2,1.0
19,169,1,4,3,3,0,4,0,0,2,1.0
20,169,1,4,3,3,0,4,0,1,2,1.0
21,169,0,5,3,3,0,4,0,1,2,1.0
22,169,0,5,3,3,0,4,0,1,2,0.0
23,169,0,5,3,3,0,4,0,1,2,0.0
24,169,0,5,3,3,0,4,0,1,2,0.0
25,169,0,5,3,3,0,4,0,1,2,0.0
26,169,0,5,3,3,0,4,0,1,2,0.0
27,169,0,5,3,3,0,4,0,1,2,0.0
28,169,0,5,3,3,0,4,0,1,2,0.0
29,168,1,5,3,3,0,4,0,1,2,1.0
30,168,1,5,2,4,0,4,0,1,2,1.0
31,168,0,6,2,4,0,4,0,1,2,1.0
32,167,1,6,1,5,0,4,0,1,2,1.0
33,167,1,6,1,5,0,4,0,1,2,1.0
34,167,0,5,2,6,0,4,0,1,2,1.0
35,166,1,5,1,7,0,4,0,1,2,1.0
36,166,1,5,1,7,0,4,0,1,2,1.0
37,166,1,5,1,7,0,4,0,1,2,1.0
38,166,1,5,1,7,0,4,0,1,2,1.0
39,166,0,6,1,7,0,4,0,1,2,1.0
40,166,0,5,1,8,0,4,0,2,2,0.0
41,166,0,5,1,8,0,4,0,2,2,0.0
42,166,0,5,1,8,0,4,0,2,2,0.0
43,165,1,4,1,9,0,4,0,2,2,1.0
44,165,1,4,1,9,0,4,0,2,2,1.0
45,165,0,4,2,9,0,4,0,2,2,1.0
46,165,0,4,2,9,0,4,0,2,2,1.0
47,165,0,4,2,9,0,4,0,2,2,1.0
48,164,1,3,2,10,0,4,0,2,2,1.0
49,164,1,1,2,12,0,4,0,2,2,1.0
50,164,1,1,2,12,0,5,0,2,3,1.0
51,163,2,1,2,12,0,5,0,2,3,2.0
52,163,1,2,2,12,0,5,0,2,3,2.0
53,163,1,2,2,12,0,5,0,2,3,1.0
54,163,0,3,2,12,0,5,0,2,3,1.0
55,163,0,3,2,12,0,5,0,2,3,1.0
56,162,1,3,2,12,0,5,0,2,3,1.0
57,160,3,3,2,12,0,5,0,2,3,1.0
58,160,3,3,2,12,0,5,0,2,3,1.0
59,159,3,4,2,12,0,5,0,2,3,1.3333333333333333
