agent_id,timestamp,event_type,content,impact
1,43,disenchantment,Désenchantement à t=43,0.7
2,48,disenchantment,Désenchantement à t=48,0.7
3,5,mutation,Mutation: M-001 → MV-002,0.4
3,6,mutation,Mutation: MV-002 → MV-003,0.4
3,13,cultural_resonance,Résonance culturelle : fusion de MV-003 et MV-002,0.6
3,49,disenchantment,Désenchantement à t=49,0.7
4,0,cycle_expansion,Saison d'expansion narrative,0.3
4,8,infection,Infecté par Agent#1,0.6
4,10,cycle_contraction,Saison de contraction narrative,0.3
4,49,narrative_eclipse,La souche M-001 s'efface,0.8
5,0,cycle_expansion,Saison d'expansion narrative,0.3
5,10,cycle_contraction,Saison de contraction narrative,0.3
5,30,cycle_expansion,Saison d'expansion narrative,0.3
5,40,cycle_expansion,Saison d'expansion narrative,0.3
5,50,cycle_expansion,Saison d'expansion narrative,0.3
6,0,cycle_expansion,Saison d'expansion narrative,0.3
6,6,infection,Infecté par Agent#3,0.6
6,13,cultural_resonance,Résonance culturelle : fusion de MV-003 et MV-002,0.6
6,15,disenchantment,Désenchantement à t=15,0.7
7,0,cycle_expansion,Saison d'expansion narrative,0.3
7,10,cycle_contraction,Saison de contraction narrative,0.3
7,14,infection,Infecté par Agent#6,0.6
7,32,disenchantment,Désenchantement à t=32,0.7
8,0,cycle_expansion,Saison d'expansion narrative,0.3
8,10,cycle_contraction,Saison de contraction narrative,0.3
8,29,infection,Infecté par Agent#7,0.6
8,50,cultural_resonance,Résonance culturelle : fusion de FS-004 et MV-002,0.6
9,0,cycle_expansion,Saison d'expansion narrative,0.3
9,10,cycle_contraction,Saison de contraction narrative,0.3
9,30,cycle_expansion,Saison d'expansion narrative,0.3
9,40,cycle_expansion,Saison d'expansion narrative,0.3
9,50,cycle_expansion,Saison d'expansion narrative,0.3
9,51,infection,Infecté par Agent#8,0.6
10,0,cycle_expansion,Saison d'expansion narrative,0.3
10,10,cycle_contraction,Saison de contraction narrative,0.3
10,30,cycle_expansion,Saison d'expansion narrative,0.3
10,35,infection,Infecté par Agent#8,0.6
10,40,disenchantment,Désenchantement à t=40,0.7
11,0,cycle_expansion,Saison d'expansion narrative,0.3
11,10,cycle_contraction,Saison de contraction narrative,0.3
11,30,cycle_expansion,Saison d'expansion narrative,0.3
11,40,cycle_expansion,Saison d'expansion narrative,0.3
11,50,cycle_expansion,Saison d'expansion narrative,0.3
11,57,infection,Infecté par Agent#9,0.6
12,0,cycle_expansion,Saison d'expansion narrative,0.3
12,10,cycle_contraction,Saison de contraction narrative,0.3
12,30,cycle_expansion,Saison d'expansion narrative,0.3
12,40,cycle_expansion,Saison d'expansion narrative,0.3
12,50,cycle_expansion,Saison d'expansion narrative,0.3
13,0,cycle_expansion,Saison d'expansion narrative,0.3
13,10,cycle_contraction,Saison de contraction narrative,0.3
13,30,cycle_expansion,Saison d'expansion narrative,0.3
13,40,cycle_expansion,Saison d'expansion narrative,0.3
13,50,cycle_expansion,Saison d'expansion narrative,0.3
14,0,cycle_expansion,Saison d'expansion narrative,0.3
14,10,cycle_contraction,Saison de contraction narrative,0.3
14,30,cycle_expansion,Saison d'expansion narrative,0.3
14,40,cycle_expansion,Saison d'expansion narrative,0.3
14,50,cycle_expansion,Saison d'expansion narrative,0.3
15,0,cycle_expansion,Saison d'expansion narrative,0.3
15,10,cycle_contraction,Saison de contraction narrative,0.3
15,30,cycle_expansion,Saison d'expansion narrative,0.3
15,40,cycle_expansion,Saison d'expansion narrative,0.3
15,50,cycle_expansion,Saison d'expansion narrative,0.3
16,0,cycle_expansion,Saison d'expansion narrative,0.3
16,10,cycle_contraction,Saison de contraction narrative,0.3
16,30,cycle_expansion,Saison d'expansion narrative,0.3
16,40,cycle_expansion,Saison d'expansion narrative,0.3
16,50,cycle_expansion,Saison d'expansion narrative,0.3
17,0,cycle_expansion,Saison d'expansion narrative,0.3
17,10,cycle_contraction,Saison de contraction narrative,0.3
17,30,cycle_expansion,Saison d'expansion narrative,0.3
17,40,cycle_expansion,Saison d'expansion narrative,0.3
17,50,cycle_expansion,Saison d'expansion narrative,0.3
18,0,cycle_expansion,Saison d'expansion narrative,0.3
18,5,infection,Infecté par Agent#3,0.6
18,30,disenchantment,Désenchantement à t=30,0.7
