timestamp,agent_id,event_type,cultural_state,source_id,guild,narrative_coherence,strain_id
0,1,exposure,E,-1,Anachorètes,0.5666666666666667,M-001
0,2,exposure,E,-1,Scribes,0.5666666666666667,M-001
0,3,exposure,E,-1,Anachorètes,0.5666666666666667,M-001
5,18,exposure,E,3,Colporteurs,0.5666666666666667,M-001
6,6,exposure,E,3,Colporteurs,0.4,MV-002
8,4,exposure,E,1,Iconoclastes,0.5666666666666667,M-001
10,46,exposure,E,3,Scribes,0.4,MV-003
12,76,exposure,E,4,Iconoclastes,0.5666666666666667,M-001
13,159,exposure,E,6,Colporteurs,0.4,MV-002
13,46,disenchantment,R,-1,Scribes,0.4,FS-004
14,7,exposure,E,6,Hérauts,0.4,FS-004
15,6,disenchantment,R,-1,Colporteurs,0.4,FS-004
17,134,exposure,E,159,Anachorètes,0.4,MV-002
18,159,disenchantment,R,-1,Colporteurs,0.4,MV-002
29,8,exposure,E,7,Hérauts,0.4,FS-004
30,18,disenchantment,R,-1,Colporteurs,0.5666666666666667,M-001
32,137,exposure,E,134,Scribes,0.4,MV-002
32,7,disenchantment,R,-1,Hérauts,0.4,FS-004
35,10,exposure,E,8,Anachorètes,0.4,FS-004
35,76,disenchantment,R,-1,Iconoclastes,0.5666666666666667,M-001
40,10,disenchantment,R,-1,Anachorètes,0.4,FS-004
43,139,exposure,E,137,Hérauts,0.4,MV-002
43,1,disenchantment,R,-1,Anachorètes,0.5666666666666667,M-001
48,141,exposure,E,8,Colporteurs,0.4,FS-004
48,2,disenchantment,R,-1,Scribes,0.5666666666666667,M-001
49,3,disenchantment,R,-1,Anachorètes,0.4,FS-004
51,9,exposure,E,8,Colporteurs,0.4,FS-005
56,144,exposure,E,141,Colporteurs,0.4,FS-004
57,11,exposure,E,9,Scribes,0.4,FS-005
57,49,exposure,E,137,Scribes,0.4,FS-005
59,142,exposure,E,141,Scribes,0.4,FS-004
